OperatorControlNumber,DifficultyDate,SubmissionDate,OperatorDesignator,SubmitterDesignator,SubmitterTypeCode,ReceivingRegionCode,ReceivingDistrictOffice,SDRType,JASCCode,NatureOfConditionA,NatureOfConditionB,NatureOfConditionC,PrecautionaryProcedureA,PrecautionaryProcedureB,PrecautionaryProcedureC,PrecautionaryProcedureD,StageOfOperationCode,HowDiscoveredCode,RegistryNNumber,AircraftMake,AircraftModel,AircraftSerialNumber,AircraftTotalTime,AircraftTotalCycles,EngineMake,EngineModel,EngineSerialNumber,EngineTotalTime,EngineTotalCycles,PropellerMake,PropellerModel,PropellerSerialNumber,PropellerTotalTime,PropellerTotalCycles,PartMake,PartName,PartNumber,PartSerialNumber,PartCondition,PartLocation,PartTotalTime,PartTotalCycles,PartTimeSince,PartSinceCode,ComponentMake,ComponentModel,ComponentName,ComponentPartNumber,ComponentSerialNumber,ComponentLocation,ComponentTotalTime,ComponentTotalCycles,ComponentTimeSince,ComponentSinceCode,FuselageStationFrom,FuselageStationTo,StringerFrom,StringerFromSide,StringerTo,StringerToSide,WingStationFrom,WingStationFromSide,WingStationTo,WingStationToSide,ButtLineFrom,ButtLineFromSide,ButtlineTo,ButtlineToSide,WaterLineFrom,WaterLineTo,CrackLength,NumberOfCracks,CorrosionLevel,StructuralOther,Discrepancy
NX422026021800008,02/17/2026,"2026-02-18T13:18:31.960-05:00",NX4S,NX42,B,SO,15,G,8520,O,,,K,,,,IN,V,909ER,CESSNA,172S,,,,LYC,IO360L2A,L39655451E,2449,,,,,,,LYC,STUD,76220P01,,DISPLACED,ENGINE,2449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UPON DISASSEMBLY FOR IT'S FIRST OVERHAUL, DAMAGE WAS FOUND ON 2 OF THE THRU STUDS. THE DAMAGE APPEARS TO BE DISPLACED STEEL UNDER THE THREADED PORTION ON THE SHOULDER OF THE THRU STUD. THE DAMAGE IS MINOR BUT DUE TO THE SIMILAR LOCATION AND SEVERITY OF THE DAMAGE REPORTED IN SDR CONTROL# NX422026020600002, I FELT IT WAS BEST PRACTICE TO REPORT IT. THE LEFT HAND CRANKCASE OF THIS ENGINE ALSO HAS DAMAGE TO THE INSIDE OF ALL 4 THRU STUD BORE LOCATIONS"
FDEA202602140219,02/14/2026,"2026-02-18T13:00:27.400-05:00",FDEA,FDEA,A,CE,23,A,2597,J,,,O,,,,NR,O,722FD,AIRBUS,A300B4622R,479,62081,33664,,,,,,,,,,,,"ELEC CONNECTOR",,,DIRTY,"ZONE 800 SLIDE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WHEN R1 SLIDE ARMED NO INDICATION ON ECAM OF SLIDE  BEING ARMED.    AMM: 52-73-13-05-01    CLEANED CONNECTOR AT ESCAPE SLIDE ARM SWITCH 14WN  PER ESPM 20-55-50-0. PERFORMED ADJUSTMENT TEST OF  ESCAPE SLIDE IAW AMM 52-73-13-05-01. OPS CHECKS  GOOD OK FOR SERVICE."
FDEA202602170220,02/17/2026,"2026-02-18T13:00:27.557-05:00",FDEA,FDEA,A,CE,23,A,5210,O,,,O,,,,TX,O,667FE,AIRBUS,A300F4605R,771,38473,21576,,,,,,,,,,,HNYWL,LEVER,D31023101,0677,INOPERATIVE,"ZONE 800",37688,4932,785,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"L1 DOOR SLIDE LEVER WILL NOT MOVE TO ARM.    AMM: 52-10-11-05-02 CHECKED FOR CORRECT OPERATION OF SLIDERS AND GIRT BAR.  NO BINDING   NOTED.  ARMING HANDLE ARMS AND DISARMS SMOOTH.  ARMED AND DISARMED SEVERAL TIMES. OKAY FOR SERVICE.."
FDEA202602110221,02/11/2026,"2026-02-18T13:00:27.713-05:00",FDEA,FDEA,A,CE,23,A,2565,W,,,K,,,,IN,V,843FD,BOEING,777FHT,39286,55981,8562,,,,,,,,,,,,"SAFETY WIRE",62771128FX,M8451,INCORRECT,"ZONE 800 SLIDE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REF FEA G2560-F0386294 REV C P1 FOUND INCORRECT  SAFETY WIRE ON RIGHT DOOR SLIDE.  REMOVED AND REPLACED R1 DOOR SLIDE IAW AMM 25-66-01-4-0."
FDEA202602090222,02/09/2026,"2026-02-18T13:00:27.883-05:00",FDEA,FDEA,A,CE,23,A,2565,W,,,K,,,,IN,V,865FD,BOEING,777F,40671,25015,4220,,,,,,,,,,,,"SAFETY WIRE",62771123FX,2386,"WRONG PART","ZONE 800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REF WRI 25-60/6509. DURING L1 DOOR RAFT INSPECTION  FOUND CRES (SILVER) WIRE IS INSTALLED.  NEED TO  INSTALL COPPER WIRE.   REMOVED L1 DOOR SLIDE PACK - REMOVED STAINLESS SAFETY WIRE AND REPLACED WITH   CORRECT SAFETY WIRE PER F.E.A - REINSTALLED L1 DOOR SLIDE PACK - SAFETY PINS REMOVED   AND STOWED - DOOR ASSIST REACTIVATED - ARM AND DISARM INDICATIONS CHECK GOOD -   REMOVED 10 MAN LIFE RAFT -NOTIFIED QC FOR WEIGHT AND BALLANCE CHANGE - OK FOR SERVICE."
FDEA202602080223,02/08/2026,"2026-02-18T13:00:28.040-05:00",FDEA,FDEA,A,CE,23,A,2565,W,,,K,,,,IN,V,869FD,BOEING,777FS2,40675,39680,6565,,,,,,,,,,,,"SAFETY WIRE",,,"WRONG PART","ZONE 800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REMOVE RH DOOR SLIDE FOR FEA INSPECTION OF PROPER  CAD PLATED COPPER SAFETY WIRE MS20995CY16.  REMOVED R1 DOOR SLIDE IN REF TO 777 AMM.  SLIDE WAS REMOVED DUE TO THE WRONG WIRE INSTALLED  ALSO THE TOP LEVER LATCH CLIP DAMAGED. 10 MAN LIFE  RAFT INSTALLED.  AMM: 25-66-01-4. INSTALLED RH DOOR SLIDE PACK AND CHECKS GOOD."
FDEA202602080224,02/08/2026,"2026-02-18T13:00:28.197-05:00",FDEA,FDEA,A,CE,23,A,2565,W,,,K,,,,IN,V,875FD,BOEING,777F,66264,8916,1507,,,,,,,,,,,,"SAFETY WIRE",,,"WRONG PART","ZONE 800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REMOVE RT DOOR SLIDE FOR FEA INSPECTION OF PROPER CAD PLATED COPPER SAFETY WIRE   MS20995CY16.  REF G-2560-F0386294 REV NO. A PS P1  PERFORMED SLIDE INSPECTION AFTER SLIDE REMOVAL PER FEA G-2560-F0386294 REV NO. A PS   P1. FOUND INCORRECT SAFETY WIRE INSTALLED. INSTALLED CORRECT SAFETY WIRE   MS20995CY16 REF EA 9-2560-T0386431."
FDEA202602170225,02/17/2026,"2026-02-18T13:00:28.353-05:00",FDEA,FDEA,A,CE,23,A,2565,W,,,K,,,,IN,V,880FD,BOEING,777F28,32967,60993,9638,,,,,,,,,,,,"SAFETY WIRE",,,"WRONG PART","ZONE 800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RIGHT SIDE DOOR SLIDE INSPECTION REVEALED THAT THE WRONG SAFETY WIRE WAS USED.   THE WO REQUIRES REPLACING THE WIRE WITH MS20995CY16 CAD-PLATED COPPER WIRE.  RH DOOR SLIDE RAFT RETURN TO NORMAL OPS,  AIRCRAFT READY FOR SERVICE"
FDEA202602070226,02/07/2026,"2026-02-18T13:00:28.510-05:00",FDEA,FDEA,A,CE,23,A,2565,W,,,K,,,,IN,V,891FD,BOEING,777F,41440,29850,5046,,,,,,,,,,,,"SAFETY WIRE",,,"WRONG PART","ZONE 800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REF WRI 25-60 /7566,WHILE  ACCOMPLISHING FEA G-2560-F0386294A, FOUND R/H EMERGENCY   EVACUATION SLIDE WITH THE WRONG SAFETY WIRE ON THE PACKBOARD ATTACH CABLE.  AMM: 25-66-01-4.  INSTALLED RH DOOR SLIDE IN REF TO 777 AMM. OPS CHECKED GOOD."
FDEA202602180227,02/18/2026,"2026-02-18T13:00:28.680-05:00",FDEA,FDEA,A,CE,23,A,2565,O,,,K,,,,IN,V,680FE,AIRBUS,A300F4605R,794,35084,20043,,,,,,,,,,,,"SAFETY WIRE",,,"WRONG PART","ZONE 800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"L1 DOOR EJECTOR BAG RELEASE CABLE/INFLATOR  ACTUATING ARM CLIP HAD IMPROPER BREAKAWAY COPPER  WIRE INSTALLED.   INSTALLED CORRECT CAD PLATED BREAK AWAY WIRE  MS20995CY AS PER CMM AND E.A. LISTED ABOVE FOR THE  L1 DOOR SLIDE SERIAL NUMBER 0443TH EJECTOR BAG  RELEASE CABLE.    EA: 6-2560-F0386375 REV A PT1  EA: 9-2560-T0386431  CMM: 25-60-40  INSTALLED CORRECT CAD PLATED BREAK AWAY WIRE  MS20995CY AS PER CMM AND E.A. LISTED ABOVE FOR THE  L1 DOOR SLIDE SERIAL NUMBER 0443TH EJECTOR BAG  RELEASE CABLE."
FDEA202602180228,02/18/2026,"2026-02-18T13:00:28.847-05:00",FDEA,FDEA,A,CE,23,A,2565,O,,,K,,,,IN,V,688FE,AIRBUS,A300F4605R,874,23192,13537,,,,,,,,,,,,"SAFETY WIRE",,,"WRONG PART","ZONE 800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"L1DOOR ESCAPE SLIDE NEEDS TO BE REMOVED TO  ACCOMPLISH EA G-2560-F0386282 PART 1 REF WRI  25-60-8181. ESCAPE SLIDE DID NOT HAVE THE CAD  PLATED SAFETY WIRE INSTALLED. EA: G-2560-F0386282 C PART 1  AMM: 25-61-21-04  REMOVED AND REINSTALLED L1 DOOR SLIDE AFTER CORRECT  SAFETY WIRE WAS INSTALLED. OPS CHECKS GOOD."
FDEA202602180229,02/18/2026,"2026-02-18T13:00:29.003-05:00",FDEA,FDEA,A,CE,23,A,2565,W,,,K,,,,IN,V,657FE,AIRBUS,A300F4605R,748,41078,22383,,,,,,,,,,,,"SAFETY WIRE",,,"WRONG PART","ZONE 800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WHILE PERFORMING INSPECTION E.A. 6-2560-F0386375  REV A, FOUND EJECTOR BAG RELEASE CABLE SAFTIED WITH  WRONG WIRE.    AMM: 25-61-20-05-01  INSTALLED CORRECT SAFETY WIRE ON R1 DOOR SLIDE  EJECTOR BAG CABLE IAW A300MM 25-61-20-05-01. A/C OK  FOR SERVICE."
FDEA202602180230,02/18/2026,"2026-02-18T13:00:29.160-05:00",FDEA,FDEA,A,CE,23,A,2565,W,,,O,,,,TX,O,688FE,AIRBUS,A300F4605R,874,23192,13537,,,,,,,,,,,,"SAFETY WIRE",,,"WRONG PART","ZONE 800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WHILE ACCOMPLISHING EA 6-2560-F386375 REV A PART 1.  FOUND THE EJECTOR BAG RELEASE CABLE SAFETY WIRE  WAS IN CORRECT.    L1 DOOR SLIDE - 3831690 EA: 6-2560-F0386375 REV A PART 1  INSTALLED CAD PLATED SAFETY WIRE TO THE EJECTOR BAG  RELEASE CABLE."
FDEA202602180231,02/18/2026,"2026-02-18T13:00:29.330-05:00",FDEA,FDEA,A,CE,23,A,3350,L,,,K,,,,IN,C,687FE,AIRBUS,A300F4605R,873,23679,13798,,,,,,,,,,,DIEHL,BATTERY,AD321431,237379,INOPERATIVE,"ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMERGENCY LIGHTS DOOR TEST INOP AMM: 33-51-14-04  REMOVED/INSTALLED EMERGENCY POWER SUPPLY UNIT PER  AMM REF. ABOVE, OPS CHECK GOOD. A/C OK FOR SERVICE."
ASAA2026011462868,01/14/2026,"2026-02-17T16:16:21.100-05:00",ASAA,ASAA,A,NM,02,A,4900,B,,,O,,,,NR,O,381HA,AIRBUS,A330243,1114,62784,10201,,,,,,,,,,,,APU,38004546,P1400,ODOR,"ZONE 100",49723,17196,14571,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DMI 545540 - STRONG SOCK SMELL FROM APU BLEED AIR ( APU BLEED AIR SUPPLY SYSTEM (APU AIR NOT AVAILABLE; WILL NEED GRND AIR CON AND AIR START CART) ). GROUNDED - YES. REMOVED AND REPLACED AUXILIARY POWER UNIT, S/N: P-1400, PER T/C 330-49-HWI-02.  OPERATIONAL CHECK & LEAK CHECK WAS GOOD.  NO FURTHER DEFECTS NOTED.  PLACARD REMOVED.  MIC SHEET UPDATED.  A/C IS OK FOR SVC."
ASAA2026021463413,02/14/2026,"2026-02-16T19:57:55.783-05:00",ASAA,ASAA,A,NM,02,A,5210,J,,,K,,,,TX,V,388HA,AIRBUS,A330243,1310,56816,8937,,,,,,,,,,,,HANDLE,,,MALFUNCTIONED,"ZONE 800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1L DOOR WOULD NOT DISARM ON ARRIVAL AT THE GATE. BOTH THE COCKPIT AND THE FFA PANEL WERE SHOWING ARM. THE MX HAD TO USE EXCESSIVE AMOUNT OF FORCE TO DISARM. GROUNDED - YES. 1L DOOR ESCAPE SLIDE ARM AND DISARM LEVER WORKING PROPERLY IAW AMM OPS TEST 52-71-00-710-802-A. OPS CGECK GOOD AIRCRAFT OK FOR SERVICE."
ASAA2026020663415,02/06/2026,"2026-02-16T19:57:55.940-05:00",ASAA,ASAA,A,NM,02,A,7200,B,,,O,,,,NR,O,5879K,AIRBUS,A330343,1226,35654,6239,RROYCE,RB211TRENT77,41920,345556,5834,,,,,,,ENGINE,,,ODOR,"NR 2",,,34556,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REQUEST FOR #2 ENGINE BORESCOPE DUE TO REPETITIVE CABIN ODOR REPORTS. (PRIAOG/ETOPS). GROUNDED - YES. BORESCOPE ACCOMPLISHED, AND #2 ENG REPLACED DUE TO OIL STAINING."
ASAA2026021164264,02/11/2026,"2026-02-16T18:33:47.287-05:00",ASAA,ASAA,A,NM,02,A,5330,O,,,K,,,,IN,V,524AS,BOEING,737890,35195,53254,19211,,,,,,,,,,,,SKIN,147A3110,,CORRODED,"ZONE 100",,,,,,,,,,,,,,,907,927,21,L,22,L,,,,,,,,,,,,,2,,"FOUND CORROSION ON LAV VENT WASTE TUBE SURROUNDING STRUCTURE. SRXR430X. GROUNDED - YES. ACCOMPLISHED CATEGORY ""B"" MAJOR REPAIR TO LH EXTERNAL FUSELAGE SKIN AT LAV VENT WASTE TUE BETWEEN STA 907-927 STSR 21L-22L IAW B737-800 SRM 53-70-01-2R-3 REPAIR 3."
ASAA2026021064313,02/10/2026,"2026-02-16T18:33:47.447-05:00",ASAA,ASAA,A,NM,02,A,3350,L,,,K,,,,IN,C,937AK,BOEING,7379,44100,14181,4088,,,,,,,,,,,,"BATTERY PACK",D71701100,,"NO TEST","ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"L2 DOOR EMERGENCY LIGHT FAILED CAPACITY TEST. SRXR430X. GROUNDED - YES. REMOVED AND INSTALLED NEW BATTERY PACK (M1672) IAW AMM 33-51-06-960-802 TEST OK PN(ON/OFF) ADD717-01-100SRXR430X."
ASAA2026021464341,02/14/2026,"2026-02-16T18:33:47.593-05:00",ASAA,ASAA,A,NM,02,A,3350,O,,,K,,,,IN,V,459AS,BOEING,737990ER,36352,44146,13742,,,,,,,,,,,,"LIGHT SYS",,,MALFUNCTIONED,"ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CABIN EMERGENCY LIGHTS ARE COMING ON WHEN GROUND SOURCE SWITCH HELD AND GROUND POWER/ BATTERY TURNED OFF. GROUNDED - YES. COULD NOT DUPLICATE EMERGENCY EXIT LIGHT SYSTEM OPERATES NORMALLY NO DEFECTS NOTED."
ENHA20260218002,02/17/2026,"2026-02-18T14:36:31.680-05:00",ENHA,ENHA,E,AL,03,A,2731,F,,,A,,,,CL,O,502GV,CESSNA,208B,208B5249,5514,8529,,,,,,,,,,,,"TRIM SYSTEM",,,LOCKED,ELEVATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DURING TAKEOFF THE ELEVATOR CONTROL WAS LOCKED IN A SLIGHT CLIMB POSITION. ALSO ON TAKEOFF, THE ELECTRIC ELEVATOR PITCH TRIM LOCKED IN A TAKEOFF POSITION AND WAS UNRESPONSIVE IN ELECTRIC OR MANUAL MODES UNTIL WELL AFTER LANDING.   AIRCRAFT LANDED SAFELY AND IS UNDERGOING INSPECTION TO DETERMINE THE CAUSE OF THIS DEFECT.  A FULL NARRATIVE OF THIS FLIGHT EVENT HAS BEEN PROVIDED TO THE NTSB IAW 830.5 (A)(1) DUE TO FLIGHT CONTROL SYSTEM MALFUNCTION OR FAILURE."
DALA2026021801175,02/17/2026,"2026-02-18T14:54:06.540-05:00",DALA,DALA,A,SO,27,A,3350,L,,,K,,,,IN,C,808NW,AIRBUS,A330323,0591,96887,12726,,,,,,,,,,,,LAMP,,,INOPERATIVE,"ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SEAT MOUNTED WHITE EMERGENCY LIGHT 30B INOPERATIVE.  REPAIRED WIRING AND REPLACED LAMP ASSY PER A330 AMM 33-51. (8165962)"
DALA2026021801135,02/14/2026,"2026-02-18T14:24:19.940-05:00",DALA,DALA,A,SO,27,A,5311,O,,,K,,,,IN,V,582NW,BOEING,757351,32981,78527,26006,,,,,,,,,,,BOEING,FRAME,,,CRACKED,"ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CRACK ON FRAME STA = 760 BTW STR=8LH AND STR=9LH AT PAX CABIN.    FRAME STA =760 BTW STR=8LH AND STR=9LH AT PAX CABIN WAS REPAIRED PER B757-300 SRM 53-00-07-2R-1 PAR. 4. (1451317)"
DALA2026021801136,02/16/2026,"2026-02-18T14:24:20.097-05:00",DALA,DALA,A,SO,27,A,5320,O,,,K,,,,IN,V,582NW,BOEING,757351,32981,78527,26006,,,,,,,,,,,BOEING,STRAP,,,CRACKED,"ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CRACK ON STABILIZATION STRAP (1EA) BTW STA 580 LBL 19 AT CEILING STRUCTURE OF FWD CARGO COMPARTMENT.    CRACK ON STABILIZATION STRAP (1EA) BTW STA 580 LBL 19 AT CEILING STRUCTURE OF FWD CARGO COMPARTMENT WAS REPAIRED PER B757-300 SRM 53-00-51-2R-12- REPAIR 12. (1453147)"
DALA2026021801137,02/16/2026,"2026-02-18T14:24:20.253-05:00",DALA,DALA,A,SO,27,A,5311,O,,,K,,,,IN,V,582NW,BOEING,757351,32981,78527,26006,,,,,,,,,,,BOEING,FRAME,,,WORN,"ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WEAR ON FRAME STA= 1280 STR= 11 LH AT PAX CABIN.   FRAME STA= 1280 STR= 11 LH AT PAX CABIN WAS REPAIRED PER B757-300 SRM 53-00-07-2R-1. (1453889)"
DALA2026021801138,02/14/2026,"2026-02-18T14:24:20.410-05:00",DALA,DALA,A,SO,27,A,5270,O,,,K,,,,IN,V,6711M,BOEING,757232,30483,78714,30921,,,,,,,,,,,,"PROXIMITY SWITCH",,,DIRTY,"ZONE 800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2R DOOR ESCAPE SLIDE GIRT BAR ENGAGEMENT LIGHT INOP.  FOUND THE PROX SW TO BE DIRTY WITH GREASE . CLEANED PROX SW AND PERF OPS CHK AGAIN. LIGHT OPS GOOD. (1451026)"
DALA2026021801139,02/14/2026,"2026-02-18T14:24:20.567-05:00",DALA,DALA,A,SO,27,A,2565,O,,,K,,,,IN,V,595NW,BOEING,757351,32995,76640,25196,,,,,,,,,,,,BUSTLE,,,LOOSE,"ZONE 800 SLIDE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ESCAPE SLIDE GIRT BAR ENGAGEMENT LIGHTS --1L SLIDE LIGHT INOP.   FOUND DOOR BUSTLE LOOSE AND D RING STRAP INTERFERING WITH GIRT. RESECURED. OPS NORMAL. (1450373)"
DALA2026021801140,02/17/2026,"2026-02-18T14:24:20.717-05:00",DALA,DALA,A,SO,27,A,2560,O,,,K,,,,IN,V,584NW,BOEING,757351,32984,79077,26068,,,,,,,,,,,,FITTING,,,CORRODED,"GIRT BAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CORROSION ON CENTER FITTING ON GIRT BAR OF L2, R4 AND L4 DOORS.    CENTERS FITTING ON GIRT BAR OF L2, R4 AND L4 DOORS P/N: 416N2113-2 (3EAS) WERE REPLACED PER B757-300 AMM. (1455183)"
DALA2026021801141,02/17/2026,"2026-02-18T14:24:20.873-05:00",DALA,DALA,A,SO,27,A,5310,O,,,K,,,,IN,V,584NW,BOEING,757351,32984,79077,26068,,,,,,,,,,,,"BOX BEAM",,,CORRODED,"ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,"CORROSION OUT OF LIMITS. IN REF NRC 423: CORROSION ON BOX BEAM BTW STA 1660-1680 AND LBL 55 AT PASSENGER CABIN IS OUT OF LIMITS PER B757-300 SRM 53-00-51-1A PROCEDURE 1 AD 1. FIG. 101 DETAIL VI SECTION B-B.   NEW BOX BEAM WAS REPLACED ON BTW STA 1660- 1680 AND LBL 55 AT PASSENGER CABIN PER B757-300 SRM 51-40-02-0G PAR 7 (D), CORROSION LEVEL 2. (1455344)"
DALA2026021801142,02/17/2026,"2026-02-18T14:24:21.030-05:00",DALA,DALA,A,SO,27,A,5320,O,,,K,,,,IN,V,584NW,BOEING,757351,32984,79077,26068,,,,,,,,,,,BOEING,"FLOOR SUPPORT",,,CORRODED,"ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,"CORROSION OUT OF LIMITS, IN REF TO NRC 00453: CORROSION ON LOWER SILL LH SIDE UPPER SURFACE STA 732 AT FLOOR STRUCTURE LEVEL IS OUT OF LIMITS PER B757-300 SRM 53-30-15-1A PROCEDURE 1 AD 1. FIG. 101 DETAIL VI SECTION B-B.   NEW LOWER SILL LH UPPER SURFACE STA 660 TO STA 760 AT FLOOR STRUCTURE LEVEL WAS REPLACE PER B757-300 SRM 51-40-02-0G PAR 4 B AND 7 D (CORROSION LEVEL #2). (1455336)"
DALA2026021801143,02/12/2026,"2026-02-18T14:24:21.187-05:00",DALA,DALA,A,SO,27,A,3350,O,,,K,,,,IN,V,721TW,BOEING,757231,29954,94122,24252,,,,,,,,,,,,LENS,,,DAMAGED,"ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMERGENCY EXIT SIGNS INOPERATIVE / LOCATIONS:604.   R/R LIGHT LENS PN 10-1072-101 AT R2 DOOR. REF B757 AMM 33-51. OPS NORMAL. (1448012)"
DALA2026021801144,02/15/2026,"2026-02-18T14:24:21.340-05:00",DALA,DALA,A,SO,27,A,3350,L,,,K,,,,IN,C,820DX,BOEING,75726D,33960,58681,29139,,,,,,,,,,,,"BATTERY PACK",,,INOPERATIVE,"ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DURING S/C FOUND EMERGENCY LIGHTS INOP. ABOVE LEFT AFT EMERG.EXIT DOOR AND AFT SERVICE DOOR. LIGHTS M11082, M737,M736.   REPLACED BATTERY M11082 AND BATTERY M737. ALL EMERG. LIGHTS OP NML. REF. B757 AMM 33-51. (8583367)"
DALA2026021801145,02/18/2026,"2026-02-18T14:53:55.180-05:00",DALA,DALA,A,SO,27,A,5311,O,,,K,,,,IN,V,377DA,BOEING,737832,29625,80369,32662,,,,,,,,,,,BOEING,FRAME,,,DAMAGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ACCOMPLISH AMDS 5311-01251-02B - RIGHT HAND STA 727 FRAME INNER CHORD, 737 REPAIR. ACCOMPLISHED AMDS 5311-01251-02B - RIGHT HAND STA 727 FRAME INNER CHORD, 737 REPAIR; RII; SECTION 02. SHIM WAS INSTALLED."
DALA2026021801146,02/18/2026,"2026-02-18T14:53:55.337-05:00",DALA,DALA,A,SO,27,A,5311,O,,,K,,,,IN,V,377DA,BOEING,737832,29625,80369,32662,,,,,,,,,,,BOEING,FRAME,,,DAMAGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(LOG 1456145) LEFT HAND STA 727 FRAME INNER CHORD, 737 REPAIR. ACCOMPLISHED AMDS 5311-01251-02A - LEFT HAND STA 727 FRAME INNER CHORD, 737 REPAIR; RII; SECTION 02. SHIM WAS INSTALLED."
DALA2026021801147,02/16/2026,"2026-02-18T14:53:55.493-05:00",DALA,DALA,A,SO,27,A,2530,B,,,K,,,,IN,V,880DN,BOEING,737932ER,31991,26341,10133,,,,,,,,,,,,OVEN,4311500005500,N12100307023021,SMOKE,"ZONE 900",39104,10491,502,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(LOG 8105730) SMOKE COMING FROM OVEN. REMOVED FWD GALLEY OVEN AND INSPECTED CONNECTORS FOR OVERHEATING NO EVIDENCE OF BURING DETECTED. SMELLS LIKE OVEN CLEANER RESIDUE. R/R OVEN AT FWD GALLEY IN REF TO B737 AMM 25-31. OPS NORMAL."
DALA2026021801148,02/14/2026,"2026-02-18T14:53:55.660-05:00",DALA,DALA,A,SO,27,A,3350,O,,,K,,,,IN,V,378DA,BOEING,737832,30265,79764,32496,,,,,,,,,,,,LIGHT,,,INOPERATIVE,"ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(LOG 8542582) ROW 26 DEF EMERGENCY LIGHT INOP. LOG WAS REDEFERRED TO UPDATE PARTS REQUIREMENT."
DALA2026021801149,02/15/2026,"2026-02-18T14:54:02.373-05:00",DALA,DALA,A,SO,27,A,5347,O,,,K,,,,IN,V,816NW,AIRBUS,A330323,0827,83658,11045,,,,,,,,,,,AIRBUS,"SEAT TRACK",,,CORRODED,"ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,"CABIN SEAT TRACK FOUND CORROSION AT Y1959 BETWEEN FR69 AND FR70.   REPAIRED SEAT TRACK PER A330 SRM 53-00-15-300-004. (1451662)"
DALA2026021801150,02/15/2026,"2026-02-18T14:54:02.530-05:00",DALA,DALA,A,SO,27,A,5347,O,,,K,,,,IN,V,816NW,AIRBUS,A330323,0827,83658,11045,,,,,,,,,,,AIRBUS,"SEAT TRACK",,,CORRODED,"ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,"CABIN SEAT TRACK FOUND CORROSION AT Y-953 BETWEEN FR40.1 AND FR40.2.  REPAIRED SEAT TRACK PER A330 SRM 53-31-15-300-001. (1451666)"
DALA2026021801151,02/15/2026,"2026-02-18T14:54:02.683-05:00",DALA,DALA,A,SO,27,A,5347,O,,,K,,,,IN,V,816NW,AIRBUS,A330323,0827,83658,11045,,,,,,,,,,,AIRBUS,"SEAT TRACK",,,CORRODED,"ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,"CABIN SEAT TRACK FOUND CORROSION AT Y2462 BETWEEN FR37 AND FR37.1.  REPAIRED SEAT TRACK PER A330 SRM 53-00-15-300-004. (1451747)"
